tool	yearPublished	generalField	specificField
repeatscout	2005	Computer.sciences	Computer.science
reptile	2010	Biological.sciences	Bioinformatics
rmap	2009	Biological.sciences	Bioinformatics
rnacofold	2006	Biological.sciences	Biochemistry
rnaduplex	2011	Biological.sciences	Biochemistry
rnahybrid	2004	Biological.sciences	Bioinformatics
rnaplex	2008	Biological.sciences	Biochemistry
rnaup	2006	Biological.sciences	Biochemistry
rsearch	2003	Biological.sciences	Genetics
rsicnv	2014	Biological.sciences	Biostatistics
rsmatch	2005	Biological.sciences	Biochemistry
rswseg	2010	Technologies	Medical.informatics
rswseg	2010	Biological.sciences	Molecular.medicine
rum	2011	Biological.sciences	Bioinformatics
rum	2011	Biological.sciences	Genetics
scanorama	2019	Computer.sciences	Computer.science
scanorama	2019	Maths/Stats	Mathematics
scdd	2016	Biological.sciences	Biostatistics
scdd	2016	Maths/Stats	Statistics
scde	2014	Technologies	Medical.informatics
scgen	2018	Biological.sciences	Bioinformatics
scimitar	2017	Biological.sciences	Genetics
scmerge	2019	Maths/Stats	Mathematics
scode	2017	Biological.sciences	Bioinformatics
scorpius	2016	Technologies	Medical.informatics
scoup	2016	Biological.sciences	Bioinformatics
scuba	2014	Biological.sciences	Biostatistics
seqmap	2008	Maths/Stats	Statistics
seurat	2018	Biological.sciences	Genetics
sgrnascorer	2017	Biological.sciences	Genetics
sharcgs	2007	Biological.sciences	Genetics
shasta	2020	Biological.sciences	Genetics
shrimp	2009	Computer.sciences	Computer.science
sigemd	2018	Computer.sciences	Computer.science
sincell	2015	Biological.sciences	Bioinformatics
sincera	2015	Technologies	Medical.informatics
sincerities	2018	Biological.sciences	Bioinformatics
singe	2019	Biological.sciences	Biostatistics
slice	2017	Technologies	Medical.informatics
slicer	2016	Computer.sciences	Computer.science
slicer	2016	Biological.sciences	Bioinformatics
slingshot	2018	Biological.sciences	Biostatistics
slingshot	2018	Maths/Stats	Statistics
snap	2011	Biological.sciences	Molecular.medicine
sniffles	2018	Computer.sciences	Computer.science
snpruler	2010	Computer.sciences	Computer.science
snver	2011	Computer.sciences	Computer.science
snver	2011	Biological.sciences	Genetics
soap	2008	Biological.sciences	Genetics
